A,B,C,uot_weight,final_weight
-2.074256096413572,1.0936563025393904,0.49183614725449293,1.3887043930402245,2.7237265948192495
-2.074256096413572,1.0584383951711833,0.5171496572966746,1.3701644347154083,2.687363364596013
-2.074256096413572,1.040426976881778,0.5294280589523747,1.3641521892070492,2.6755712848216775
-2.0522550086942557,1.3798191205421024,-0.8649610394816051,1.9260154083609662,2.36756570392685
-2.0522550086942557,1.4241184349924305,-0.7958256007478076,1.9114041267269761,2.349604700532545
-2.0522550086942557,1.434256670156052,-0.7781623673950022,1.911670807464794,2.349932519389038
-2.0522550086942557,1.551686302511486,-0.20806168744047965,1.8580111447546261,6.117314417250954
-2.0522550086942557,1.0578065825297163,0.546556421296287,1.3525284037904057,2.6527730466721806
-2.0522550086942557,1.0391635440550961,0.5588213858919651,1.3362532067285295,2.620851791655257
-2.029815562675453,1.3244207143489182,-0.9762322902062084,1.9480047570000598,4.762290647568456
-2.029815562675453,1.3384496323575323,-0.9599551618291785,1.9464795357607312,4.758561936528387
-2.029815562675453,1.3521267482510948,-0.9434816010391636,1.9491455314191126,4.76507950079241
-2.029815562675453,1.3910061648145193,-0.892932794240324,1.933244780154017,2.3764524514803003
-2.029815562675453,1.0749198726542313,0.5634223180310588,1.3322304613420999,2.612961805385959
-2.006944593629797,1.3163306851024204,-1.0212724485986377,1.9605877604382633,4.793052338153014
-2.006944593629797,1.3313283884176872,-1.0051031662997263,1.9690635488804933,4.813773113030048
-2.006944593629797,1.6022174924564072,-0.18376977772638411,1.891564457539784,9.383185479710983
-2.006944593629797,1.0328540745376997,0.617411110660863,1.2997178178216313,0.9308274593589232
-2.006944593629797,1.0126927352692068,0.6293114901905573,1.2947958780338447,0.9273024813637293
-1.983649068276016,1.3213690346764266,-1.0503974638733693,1.9619935426967845,4.796489056507118
-1.983649068276016,1.3369916345109216,-1.0341523085618451,1.9614290439426207,4.7951090254123
-1.983649068276016,1.570146938787348,-0.6702799901236679,1.9685220199031168,3.1341887378468853
-1.983649068276016,1.0070294891759721,0.6583606324526764,1.2623484456004939,0.9040643902330883
-1.9599360826568002,0.17061104709327699,0.886852984364732,1.5599576970929978,15.718402015698333
-1.9599360826568002,0.11898650710444071,0.8857547261730835,1.6649390935912052,15.718402015698333
-1.9599360826568002,1.6427476340831282,-0.11670398248142323,1.8868087763102102,9.35959472186946
-1.9599360826568002,1.6382636732187685,-0.09604430982240326,1.8847067327197427,9.349167445750375
-1.9599360826568002,0.3510080877486392,0.8791722002252222,1.4675055129570223,4.443591875702311
-1.9599360826568002,0.3253274424490752,0.8813650381959377,1.478587407363406,7.296439203849747
-1.9599360826568002,0.2738444017359705,0.8846568025215192,1.5090842610848985,7.446933140142875
-1.9599360826568002,0.22225131720864127,0.886486861125954,1.5320926720912322,7.560473585062705
-1.9358128599772826,0.17039158341060773,0.9072837508298661,1.5538003371740792,15.718402015698333
-1.9358128599772826,0.144134554253914,0.9069114041817057,1.66604335040449,15.718402015698333
-1.9358128599772826,0.11788952292454985,0.9061668243057808,1.5940806924034394,15.718402015698333
-1.9358128599772826,0.0916644839132989,0.9050502380083346,1.6622401601006933,15.718402015698333
-1.9358128599772826,1.6334633217076047,-0.6417666259490168,1.97857326832958,3.1501918657270997
-1.9358128599772826,1.6579807150258823,-0.07137796555370539,1.8800356717923845,9.3259964504963
-1.9358128599772826,0.30157677003870825,0.9035619854123697,1.4646186216708763,7.227506927645057
-1.9358128599772826,0.19665261224919148,0.9072837508298661,1.5283307488019844,7.541909485008254
